,y,y_tnd,diff_y_tnd,y_gap,log(Y),obs_y,obs_diff_y,shk_y_tnd,shk_y_gap,ant_shk_y_gap,Y,,,log(obs_Y),obs_y_gap,obs_y_gap4,obs_Y,
1999Q1,941.965413299995,940.497888533921,1.50000441705,1.467524766075,9.419654133,,,4.417049e-06,0.642049815177,0.0,12328.31752405719,,,,,,,
1999Q2,942.829599632976,940.872889638183,1.50000441705,1.956709994793,9.42829599633,,,4.417049e-06,0.856066420236,0.0,12435.318838634857,,,,,,,
1999Q3,943.856845132189,941.247890742446,1.50000441705,2.608954389744,9.438568451322,,,4.417049e-06,1.141421893648,0.0,12563.718452249184,,,,,,,
1999Q4,945.101503497214,941.622891846708,1.50000441705,3.478611650506,9.451015034972,,,4.417049e-06,1.521895858198,0.0,12721.071044641985,,,,,,,
2000Q1,945.465288368898,941.945470958899,1.290316448761,3.51981741,9.454652883689,946.771157645587,0.363784860894,-0.209683551239,0.91085867212,0.0,12767.43265374982,,,,,,,
2000Q2,946.671433231321,941.816608209668,1.477907157357,4.854825019519,9.466714332406,946.771157645587,1.804208834238,-0.022092841566,2.214961966118,0.0,12922.358826798396,,,,,,,
2000Q3,946.178555264123,942.029015137914,1.013487841025,4.149540126175,9.461785552651,946.771157645587,0.099724386959,-0.486512158765,0.47637964326,0.0,12858.824069261538,,,,,,,
2000Q4,947.095905397709,942.233300838422,1.21178673068,4.862604558528,9.470959053987,946.771157645587,0.592602393535,-0.288213268854,1.692766906644,0.0,12977.32722241907,,,,,,,
2001Q1,946.151691051065,942.370408169483,0.805649672961,3.781282884515,9.461516910507,946.771157645587,-0.32474773835,-0.694350328296,0.090958305175,0.0,12855.370111150014,,,,,,,
2001Q2,947.172310208774,942.224425224939,1.142533821349,4.94788498215,9.471723102111,946.771157645587,0.619466552783,-0.357466178015,1.917993123004,0.0,12987.246313788442,,,,,,,
2001Q3,946.494227027724,942.43215028223,0.729520157837,4.062076747351,9.464942270282,946.771157645587,-0.401152558089,-0.77047984302,0.354584690576,0.0,12899.47988160644,,,,,,,
2001Q4,945.946341444619,942.40530802086,0.701935034102,3.541033421361,9.459463414446,946.771157645587,0.276930551633,-0.798064964823,0.32565888549,0.0,12828.998745285324,,,,,,,
2002Q1,946.157541701686,942.262609692616,0.804825130733,3.894932012202,9.461575417009,946.771157645587,0.82481623482,-0.695174871013,0.982959039216,0.0,12856.122255896067,,,,,,,
2002Q2,946.368440974708,942.299592625094,0.749173283888,4.068848353438,9.463684409743,946.771157645587,0.613615976346,-0.750826720148,1.013802205493,0.0,12883.264335479344,,,,,,,
2002Q3,946.640587153954,942.32820458436,0.714414894887,4.312382570319,9.466405871534,946.771157645587,0.402716710608,-0.785585105419,1.166358166629,0.0,12918.373399431652,,,,,,,
2002Q4,946.25576485961,942.458219795791,0.52764168666,3.797545062742,9.4625576486,946.771157645587,0.130570486686,-0.972358312923,0.559020421337,0.0,12868.756148993156,,,,,,,
2003Q1,945.881746863556,942.702693492267,0.469635909292,3.17905337119,9.458817468635,946.771157645587,0.515392753794,-1.030364091042,0.435996324891,0.0,12820.71458312509,,,,,,,
2003Q2,945.118001630277,943.004215295984,0.332532288376,2.113786352459,9.45118001622,946.771157645587,0.889410791103,-1.167467720807,-0.149890670094,0.0,12723.169955946343,,,,,,,
2003Q3,945.623720157291,942.882365797556,0.50907494907,2.741354362013,9.456237201583,946.771157645587,1.653156033926,-0.990925053135,0.741706313474,0.0,12787.67635775846,,,,,,,
2003Q4,946.199876129392,943.49089668724,0.511587399584,2.708979454524,9.46199876117,946.771157645587,1.147437413294,-0.988412596285,1.002341711855,0.0,12861.565972378417,,,,,,,
2004Q1,945.995435434632,943.54266043363,0.340622013881,2.452775000327,9.459954354357,946.771157645587,0.5712815611,-1.1593779861,0.424639843201,0.0,12835.298559075938,,,,,,,
2004Q2,945.834312730072,943.739606517885,0.283222196131,2.094706228631,9.458343127207,946.771157645587,0.775722238161,-1.216777808964,0.260054301518,0.0,12814.634629165672,,,,,,,
2004Q3,945.754317228199,943.571201666059,0.310029491321,2.183115562679,9.45754317228,946.771157645587,0.936845094695,-1.189970508683,0.4897116111,0.0,12804.387598181356,,,,,,,
2004Q4,945.666399997194,943.970531868042,0.226692688972,1.695868012862,9.456663999588,946.771157645587,1.01683998365,-1.27330738306,0.208484099706,0.0,12793.1352773671,,,,,,,
2005Q1,946.285733254053,943.947556684775,0.360060726896,2.338176569092,9.462857332542,946.771157645587,1.104757527114,-1.139939273125,0.989277491,0.0,12872.613286497794,,,,,,,
2005Q2,945.988605458086,943.852465000038,0.159454170342,2.136140413921,9.459886054104,946.771157645587,0.485424385522,-1.340545803308,0.249134201127,0.0,12834.42193487182,,,,,,,
2005Q3,946.204836331298,944.0803767267,0.204514224825,2.124459604787,9.462048363313,946.771157645587,0.782552039065,-1.295485775219,0.572500148735,0.0,12862.203949433939,,,,,,,
2005Q4,945.431504970611,944.059764844272,0.016230793393,1.371740146363,9.454315049854,946.771157645587,0.566321606081,-1.483769208193,-0.240844010083,0.0,12763.120111518749,,,,,,,
2006Q1,946.525874969137,944.326483391407,0.200234792285,2.199391576057,9.465258749695,946.771157645587,1.339652569754,-1.299765206873,0.660228395671,0.0,12903.562947495157,,,,,,,
2006Q2,946.620814492448,944.361174660818,0.150519756718,2.259639834057,9.466208144915,946.771157645587,0.245282666524,-1.3494802434,0.615157737041,0.0,12915.819345650149,,,,,,,
