,y,y_tnd,diff_y_tnd,y_gap,log(Y),obs_y,shk_y_tnd,shk_y_gap,ant_shk_y_gap,Y,,,obs_diff_y,log(obs_Y),obs_y_gap,obs_y_gap4,obs_Y,
1999Q1,946.740431505757,947.420520866171,1.500004445145,-0.680089360413,9.467404315058,,4.445144e-06,-0.297531315994,0.0,12931.27810692656,,,,,,,,
1999Q2,946.888746535822,947.795521977457,1.500004445145,-0.906775441634,9.468887465358,,4.445144e-06,-0.396708421325,0.0,12950.471365664083,,,,,,,,
1999Q3,946.961496945751,948.170523088744,1.500004445145,-1.209026142992,9.469614969458,,4.445144e-06,-0.528944561767,0.0,12959.896314599073,,,,,,,,
1999Q4,946.933495177096,948.54552420003,1.500004445145,-1.612029022932,9.469334951771,,4.445144e-06,-0.705259415689,0.0,12956.267822459953,,,,,,,,
2000Q1,946.771157656531,948.920525311316,1.500004445145,-2.149367654784,9.467711576565,946.771157645587,4.445144e-06,-0.940345887585,0.0,12935.252001415902,,,,,,,,
2000Q2,948.575366479825,949.391600746203,1.884301818549,-0.816234266377,9.485753664798,948.575366479825,0.384301818549,0.795791474711,0.0,13170.74900000022,,,,,,,,
2000Q3,948.675090866784,949.789401651562,1.591203621435,-1.114310784776,9.486750908668,948.675090866784,0.091203621435,-0.502135084995,0.0,13183.890000000203,,,,,,,,
2000Q4,949.26769326032,950.213429597457,1.69611178358,-0.945736337136,9.492676932603,949.26769326032,0.19611178358,-0.110003248555,0.0,13262.25000000023,,,,,,,,
2001Q1,948.94294552197,950.599911031242,1.54592573514,-1.656965509272,9.48942945522,948.94294552197,0.045925735139,-0.94766325642,0.0,13219.251000000231,,,,,,,,
2001Q2,949.562412074752,951.034853423993,1.739769571003,-1.47244134924,9.495624120748,949.562412074752,0.239769571003,-0.229717217287,0.0,13301.394000000215,,,,,,,,
2001Q3,949.161259516663,951.42959063771,1.578948854866,-2.268331121046,9.491612595167,949.161259516663,0.078948854866,-1.164000109117,0.0,13248.14200000023,,,,,,,,
2001Q4,949.438190068296,951.863153703806,1.734252264384,-2.424963635509,9.494381900683,949.438190068296,0.234252264384,-0.723715294725,0.0,13284.881000000209,,,,,,,,
2002Q1,950.263006303116,952.330297336447,1.868574530559,-2.067291033329,9.502630063031,950.263006303116,0.368574530559,-0.248568306698,0.0,13394.910000000204,,,,,,,,
2002Q2,950.876622279462,952.795698013608,1.861602708643,-1.919075734145,9.508766222795,950.876622279462,0.361602708643,-0.368607459148,0.0,13477.3560000002,,,,,,,,
2002Q3,951.27933899007,953.258816170416,1.85247262723,-1.979477180344,9.512793389901,951.27933899007,0.35247262723,-0.540170379737,0.0,13531.74100000025,,,,,,,,
2002Q4,951.409909476756,953.717134784288,1.833274455488,-2.307225307531,9.514099094768,951.409909476756,0.333274455488,-0.822617422273,0.0,13549.421000000231,,,,,,,,
2003Q1,951.92530223055,954.201293295596,1.936634045232,-2.275991065045,9.519253022306,951.92530223055,0.436634045231,-0.545572084398,0.0,13619.434000000245,,,,,,,,
2003Q2,952.814713021653,954.710691387176,2.037592366318,-1.895978365522,9.528147130217,952.814713021653,0.537592366317,-0.188985066739,0.0,13741.107000000216,,,,,,,,
2003Q3,954.467869055579,955.261361573082,2.202680743622,-0.793492517502,9.544678690556,954.467869055579,0.702680743622,0.628491256639,0.0,13970.15700000021,,,,,,,,
2003Q4,955.615306468873,955.792348434621,2.123947446158,-0.177041965748,9.556153064689,955.615306468873,0.623947446158,0.418077422378,0.0,14131.379000000234,,,,,,,,
2004Q1,956.186588029973,956.298197877278,2.023397770627,-0.111609847304,9.5618658803,956.186588029973,0.523397770627,0.021171627006,0.0,14212.340000000251,,,,,,,,
2004Q2,956.962310268135,956.813617834757,2.061679829911,0.148692433379,9.569623102681,956.962310268135,0.561679829911,0.232399818857,0.0,14323.017000000254,,,,,,,,
2004Q3,957.89915536283,957.335697425985,2.088318364912,0.563457936846,9.578991553628,957.89915536283,0.588318364912,0.451938611811,0.0,14457.83200000027,,,,,,,,
2004Q4,958.91599534648,957.859256422924,2.094235987757,1.056738923556,9.589159953465,958.91599534648,0.594235987757,0.634145470921,0.0,14605.595000000245,,,,,,,,
2005Q1,960.020752873593,958.382808970603,2.094210190712,1.637943902992,9.600207528736,960.020752873593,0.594210190712,0.845389710324,0.0,14767.846000000236,,,,,,,,
2005Q2,960.506177259115,958.872518452602,1.958837927994,1.633658806515,9.605061772591,960.506177259115,0.458837927994,0.40520087927,0.0,14839.707000000266,,,,,,,,
2005Q3,961.28872929818,959.369436416078,1.987671853905,1.919292882103,9.612887292982,961.28872929818,0.487671853905,0.694048777217,0.0,14956.291000000256,,,,,,,,
2005Q4,961.855050904261,959.849510879264,1.920297852742,2.005540024998,9.618550509043,961.855050904261,0.420297852742,0.56607036342,0.0,15041.232000000295,,,,,,,,
2006Q1,963.194703474014,960.356728743715,2.028871457803,2.837974730301,9.63194703474,963.194703474014,0.528871457803,1.333819711552,0.0,15244.08800000028,,,,,,,,
2006Q2,963.439986140538,960.804355512759,1.790507076175,2.63563062778,9.634399861405,963.439986140538,0.290507076175,0.507149580054,0.0,15281.525000000282,,,,,,,,
2006Q3,963.590329256726,961.23789681452,1.734165207044,2.352432442207,9.635903292567,963.590329256726,0.234165207044,0.375709471371,0.0,15304.517000000264,,,,,,,,
2006Q4,964.430501599974,961.693548259126,1.822605778425,2.736953340849,9.644305016,964.430501599974,0.322605778425,0.972629009193,0.0,15433.643000000286,,,,,,,,
