,y,y_tnd,diff_y_tnd,y_gap,log(Y),diff_cpi,diff4_cpi,E_diff_cpi,rs,rrs_gap,rrs,cpi,obs_y,obs_rs,obs_cpi,shk_y_tnd,shk_y_gap,shk_diff_cpi,shk_rs,shk_E_diff_cpi,ant_shk_y_gap,ant_shk_diff_cpi,ant_shk_rs,Y,,,obs_diff_y,log(obs_Y),obs_y_gap,obs_y_gap4,obs_diff_cpi,obs_Y,
1999Q1,947.019477971739,947.306845392594,1.500000634419,-0.287367420857,9.470194779717,4.404749548546,4.077182777222,3.978841052714,7.145929015789,2.797235834902,3.297235834903,513.920527902551,,,,6.34419e-07,-0.005727884235,0.28921749295,0.033723201061,0.130147871827,0.0,0.0,0.0,12967.412774298711,,,,,,,,,
1999Q2,947.037182474582,947.681845551198,1.500000634419,-0.644663076617,9.470371824746,4.327348750429,4.253148780449,3.791078863126,7.433733355104,3.261102285072,3.761102285072,515.002365090158,,,,6.34419e-07,-0.103027282466,0.263217317985,0.056361524795,0.118447793093,0.0,0.0,0.0,12969.708793505508,,,,,,,,,
1999Q3,946.991913975364,948.056845709802,1.500000634419,-1.064931734439,9.469919139754,4.015591595273,4.256827166271,3.389045902809,7.301488125629,3.510079757692,4.010079757692,516.006262988976,,,,6.34419e-07,-0.230426451206,0.216972299716,0.074234040963,0.097637534872,0.0,0.0,0.0,12963.838929681528,,,,,,,,,
1999Q4,946.898019005585,948.431845868406,1.500000634419,-1.533826862822,9.468980190056,3.469403066976,4.054273240306,2.785119816054,6.670569409362,3.457857499694,3.957857499694,516.87361375572,,,,6.34419e-07,-0.389342312022,0.160906458634,0.080448700519,0.072407906385,0.0,0.0,0.0,12951.672249880357,,,,,,,,,
2000Q1,946.771158005786,948.806846027009,1.500000634419,-2.035688021224,9.467711580058,2.73938861192,3.637933006149,2.039767781565,5.52,3.032832819911,3.532832819911,517.558460908699,946.771157645587,5.52,517.558460116574,6.34419e-07,-0.582034592116,0.116890225501,0.065289166475,0.052600601476,0.0,0.0,0.0,12935.252046592688,,,,,,,,,
2000Q2,948.575366479825,949.273206003177,1.865440474008,-0.697839523353,9.485753664798,2.554476194834,3.19471486725,2.208962939154,5.713333333,3.059973783444,3.559973783444,518.197079849038,948.575366479825,5.713333333,518.197079849038,0.365440474008,1.134923870911,0.123563087995,0.913613247521,0.055603389598,0.0,0.0,0.0,13170.749000000033,,,,,,,,,
2000Q3,948.675090866784,949.680522956794,1.62926781447,-1.00543209001,9.486750908668,2.835832848282,2.899775180503,2.495723300731,6.016666667,3.204695765427,3.704695765427,518.906038061109,948.675090866784,6.016666667,518.906038061109,0.12926781447,-0.161582870952,0.408338664795,0.947023274907,0.183752399158,0.0,0.0,0.0,13183.889999999972,,,,,,,,,
2000Q4,949.26769326032,950.132005389594,1.805929731207,-0.864312129276,9.492676932603,2.224699839274,2.588599373577,1.776672603129,6.016666667,3.718358205279,4.218358205279,519.462213020927,949.26769326032,6.016666667,519.462213020927,0.305929731207,0.261597758761,-0.048079685762,1.185207069969,-0.021635858593,0.0,0.0,0.0,13262.249999999995,,,,,,,,,
2001Q1,948.94294552197,950.551082323369,1.676307735101,-1.6081368014,9.48942945522,3.167312304631,2.695580296755,2.881640846793,4.816666667,1.798537031658,2.298537031659,520.254041097085,948.94294552197,4.816666667,520.254041097085,0.176307735101,-0.780049001277,0.807802692114,-0.671015101344,0.363511211451,0.0,0.0,0.0,13219.251000000018,,,,,,,,,
2001Q2,949.562412074753,951.010542600059,1.837841106765,-1.448130525308,9.495624120748,2.55965777039,2.696875690644,2.083631199216,3.66,1.087535557861,1.587535557861,520.893955539682,949.562412074752,3.66,520.893955539682,0.337841106765,-0.13327436847,0.024815015726,-0.552330595278,0.011166757077,0.0,0.0,0.0,13301.394000000026,,,,,,,,,
2001Q3,949.161259516663,951.416483945861,1.623765383212,-2.255224429199,9.491612595167,2.833027369756,2.696174321012,2.395002391723,3.17,0.532841741486,1.032841741486,521.602212382121,949.161259516663,3.17,521.602212382121,0.123765383212,-1.115842361068,0.572986962686,-0.209675823649,0.257844133209,0.0,0.0,0.0,13248.141999999994,,,,,,,,,
2001Q4,949.438190068296,951.858036653631,1.766210831085,-2.419846585336,9.494381900683,2.525488753611,2.771371549597,2.019198862127,1.906666667,-0.477231203257,0.022768796743,522.233584570523,949.438190068296,1.906666667,522.233584570523,0.266210831085,-0.776151383761,0.300668870822,-0.894945923089,0.13530099187,0.0,0.0,0.0,13284.880999999998,,,,,,,,,
2002Q1,950.263006303116,952.322082065338,1.856181646831,-2.059075762222,9.502630063031,2.080535441147,2.499677333726,1.654479629487,1.72,-0.36567086316,0.13432913684,522.75371843081,950.263006303116,1.72,522.75371843081,0.356181646832,-0.280757909536,0.152908369615,0.119447972017,0.068808766327,0.0,0.0,0.0,13394.909999999987,,,,,,,,,
2002Q2,950.876622279462,952.789136037384,1.86821588819,-1.912513757923,9.508766222795,1.856151894158,2.323800864668,1.520234209783,1.713333333,-0.20834935447,0.29165064553,523.217756404349,950.876622279462,1.713333333,523.217756404349,0.36821588819,-0.389041871703,0.219003382917,0.396763523314,0.098551522313,0.0,0.0,0.0,13477.356000000009,,,,,,,,,
2002Q3,951.27933899007,953.262544878581,1.89363536479,-1.983205888512,9.512793389901,1.918468905398,2.095161248578,1.626972280389,1.643333333,-0.319943155559,0.180056844441,523.697373630698,951.27933899007,1.643333333,523.697373630698,0.39363536479,-0.580814885624,0.363768426287,0.295066761881,0.163695791829,0.0,0.0,0.0,13531.74100000001,,,,,,,,,
2002Q4,951.409909476756,953.740475681968,1.911723213552,-2.330566205213,9.514099094768,1.627025039126,1.870545319957,1.239450480393,1.333333333,-0.294890176916,0.205109823084,524.10412989048,951.409909476756,1.333333333,524.10412989048,0.411723213552,-0.872650806519,0.247171045503,0.353707600988,0.111226970476,0.0,0.0,0.0,13549.420999999991,,,,,,,,,
2003Q1,951.92530223055,954.25228410045,2.04723367393,-2.326981869901,9.519253022306,1.479786766274,1.720358151239,1.142435555796,1.156666667,-0.349182557059,0.150817442941,524.474076582048,951.92530223055,1.156666667,524.474076582048,0.54723367393,-0.613975471696,0.303525181636,0.517700824618,0.136586331736,0.0,0.0,0.0,13619.434000000027,,,,,,,,,
