,y,y_tnd,diff_y_tnd,y_gap,log(Y),diff_cpi,diff4_cpi,E_diff_cpi,rs,rrs_gap,rrs,cpi,obs_y,obs_diff_y,obs_rs,obs_cpi,shk_y_tnd,shk_y_gap,shk_diff_cpi,shk_rs,shk_E_diff_cpi,ant_shk_y_gap,ant_shk_diff_cpi,ant_shk_rs,Y,,,log(obs_Y),obs_y_gap,obs_y_gap4,obs_diff_cpi,obs_Y,
1999Q1,938.509094483209,935.911787638768,1.500000627907,2.597306844439,9.385090944832,8.023670804064,6.239690854613,7.6956434501,13.286022752661,5.261608883226,5.761608883226,516.860319537687,,,,,6.27907e-07,1.132567039766,0.380510179253,0.17158737207,0.171229580664,0.0,0.0,0.0,11909.491245235888,,,,,,,,
1999Q2,938.744560578129,936.286787795744,1.500000627907,2.457772782384,9.387445605781,7.877124773884,7.182247562714,7.221605259416,15.619573360798,7.883840885384,8.383840885385,518.829600731157,,,,,6.27907e-07,1.298176737594,-0.031393813327,0.41573160799,-0.014127215997,0.0,0.0,0.0,11937.567100784257,,,,,,,,
1999Q3,939.033631826158,936.66178795272,1.500000627907,2.371843873437,9.390336318262,5.994541618028,7.255829929822,5.102433084333,16.113421327515,10.118967915876,10.618967915877,520.328236135664,,,,,6.27907e-07,1.540411078237,-0.871156282901,0.774783192293,-0.392020327305,0.0,0.0,0.0,11972.125099541396,,,,,,,,
1999Q4,939.63790497229,937.036788109695,1.500000627907,2.601116862593,9.396379049723,1.434422925985,5.83244003049,0.525470990282,13.485639814441,11.398551956042,11.898551956043,520.68684186716,,,,,6.27907e-07,1.962089153121,-2.359148595816,1.295351850701,-1.061616868117,0.0,0.0,0.0,12044.688456176564,,,,,,,,
2000Q1,940.001689823411,937.366781072865,1.319971852681,2.634908750545,9.400016898234,-7.428330695851,1.969439655511,-8.133431888217,5.520000031139,10.984112500144,11.484112500144,518.829759193198,946.771157645587,0.363784860894,5.52,517.558460116574,-0.180028147319,1.782482353615,-4.8207098305,2.051557063266,-2.169319419213,0.0,0.0,0.0,12088.585004230485,,,,,,,,
2000Q2,946.671433189932,942.732147722456,1.600430666469,3.939285467158,9.466714331987,-22.773428865299,-5.693198767576,-23.311522056116,5.715792373892,24.661098658607,25.161098661169,518.198582794208,946.771157645587,1.804208834238,5.713333333,518.197079849038,0.100430666469,4.42921377086,-8.591590595953,20.555278887025,-3.86621576967,0.0,0.0,0.0,12922.358821387556,,,,,,,,
2000Q3,946.178555005697,943.074105430263,1.554934984073,3.104449576751,9.461785550052,2.881295016248,-6.467766812009,8.48782713218,5.872204523981,1.95942530967,2.459425307867,518.873105656521,946.771157645587,0.099724386959,6.016666667,518.906038061109,0.054934984073,0.304778218293,11.277884288027,-0.382904367431,5.075047916826,0.0,0.0,0.0,12858.824035836633,,,,,,,,
2000Q4,947.09590537699,942.870114865738,2.351614246145,4.225790510519,9.470959053705,0.683358156153,-6.439961383955,0.731008271334,6.108189773228,3.897866998881,4.39786699647,519.482376528148,946.771157645587,0.592602393535,6.016666667,519.462213020927,0.851614245214,1.551381182605,-2.176254447857,0.638442899172,-0.979314506134,0.0,0.0,0.0,12977.327218764094,,,,,,,,
2001Q1,946.151691079532,943.26679669799,1.851465500891,2.884894378125,9.461516910747,3.113803675959,-3.834922221375,3.92776106311,4.627181727825,0.496832501895,0.996832500863,520.213026380783,946.771157645587,-0.32474773835,4.816666667,520.254041097085,0.351465497166,-0.265697873206,0.660915192045,-2.200093462435,0.297411836114,0.0,0.0,0.0,12855.37011424277,,,,,,,,
2001Q2,947.172310166794,943.921504311421,2.007127688965,3.250805854488,9.471723101663,2.911565359209,2.604758811072,3.344132598276,3.789247231772,-0.296348301652,0.203651699383,520.921636009584,946.771157645587,0.619466552783,3.66,520.893955539682,0.507127689198,1.116555302647,-0.536584273111,-1.735150086986,-0.241462934017,0.0,0.0,0.0,12987.246307972477,,,,,,,,
2001Q3,946.494227021852,944.390111671999,1.521253903396,2.10411534977,9.464942270214,2.869504700328,2.336276100322,3.146396423704,3.077568370756,-0.713493035211,-0.213493038456,521.582554175488,946.771157645587,-0.401152558089,3.17,521.602212382121,0.021253900602,-0.339053912291,-0.321477748635,-1.597283908339,-0.144664986044,0.0,0.0,0.0,12899.47988074054,,,,,,,,
2001Q4,945.946341051656,944.750386521013,1.371976318303,1.195954530878,9.459463410516,2.533189258708,2.779659753968,2.687687019617,1.624352927229,-1.707017536976,-1.207017537188,522.173832906664,946.771157645587,0.276930551633,1.906666667,522.233584570523,-0.128023681813,-0.548179181018,-0.319296115167,-2.091344827098,-0.143683444656,0.0,0.0,0.0,12828.998694869122,,,,,,,,
2002Q1,946.157541775775,944.31236468388,1.508025377989,1.845177075398,9.461575416172,-0.446563578576,2.259122667399,-0.783132658901,1.506052373584,0.682997147295,1.18299716718,522.7085949011,946.771157645587,0.82481623482,1.72,522.75371843081,0.008025377989,0.88565934328,-2.458195425078,0.299336644261,-1.106187932205,0.0,0.0,0.0,12856.122245134786,,,,,,,,
2002Q2,946.368440832739,944.604780218594,1.216299853113,1.763660614464,9.46368440833,1.927672554753,1.984670269027,2.840942137293,1.570947930216,-1.363819746842,-0.863819747142,523.187804156516,946.771157645587,0.613615976346,1.713333333,523.217756404349,-0.283700146945,0.188478523049,0.902609940678,-0.544041206309,0.406174459746,0.0,0.0,0.0,12883.264317273217,,,,,,,,
